1,2,3,4,5
0.35,262.5,43.3,20,8.66
0.35,262.5,44.0,20,8.8
0.35,262.5,38.7,20,7.74
0.35,262.5,41.2,20,8.24
0.35,262.5,37.9,20,7.58
0.35,262.5,41.4,20,8.28
0.35,262.5,44.1,20,8.82
0.35,262.5,44.6,20,8.92
0.35,262.5,44.8,20,8.96
0.35,262.5,47.1,20,9.42
0.35,262.5,51.3,20,10.26
0.35,262.5,44.8,20,8.96
0.35,262.5,37.5,20,7.5
0.35,262.5,39.6,20,7.92
0.35,262.5,51.0,20,10.200000000000001
0.35,262.5,45.6,20,9.120000000000001
0.35,262.5,40.1,20,8.02
0.35,262.5,37.8,20,7.5600000000000005
0.35,262.5,39.2,20,7.84
0.35,262.5,34.5,20,6.9
0.35,262.5,30.5,20,6.1000000000000005
0.35,262.5,38.9,20,7.78
0.35,262.5,44.1,20,8.82
0.35,262.5,44.8,20,8.96
0.35,262.5,42.9,20,8.58
0.35,262.5,46.1,20,9.22
0.35,262.5,45.7,20,9.14
0.35,262.5,44.6,20,8.92
0.35,262.5,47.9,20,9.58
0.35,262.5,49.2,20,9.84
0.35,262.5,46.8,20,9.36
0.35,262.5,41.6,20,8.32
0.35,262.5,55.4,20,11.08
0.35,262.5,69.3,20,13.86
0.35,262.5,47.8,20,9.56
0.35,262.5,43.6,20,8.72
0.35,262.5,46.8,20,9.36
0.35,262.5,49.2,20,9.84
0.35,262.5,56.1,20,11.22
0.35,262.5,51.8,20,10.36
0.35,262.5,46.4,20,9.28
0.35,262.5,70.1,20,14.02
0.35,262.5,67.4,20,13.48
0.35,262.5,70.7,20,14.14
0.35,262.5,69.8,20,13.96
0.35,262.5,71.2,20,14.24
0.35,262.5,64.6,20,12.92
0.35,262.5,69.3,20,13.86
0.35,262.5,59.1,20,11.82
0.35,262.5,46.1,20,9.22
0.35,262.5,49.6,20,9.92
0.35,262.5,50.5,20,10.1
0.35,262.5,46.2,20,9.24
0.35,262.5,44.1,20,8.82
0.35,262.5,46.8,20,9.36
0.35,262.5,45.5,20,9.1
0.35,262.5,48.8,20,9.76
0.35,262.5,46.6,20,9.32
0.35,262.5,45.7,20,9.14
